notional,duration,pull_through
81162622.58099887,0.24391692555291172,0.9031429185686735
190635718.21788406,0.2050265646722229,0.963641041126378
149078848.94416696,0.2378997883128378,0.9314355981076327
123745111.99743696,0.22896547008552975,0.9508570691164703
39643541.68406294,0.16957999576221705,0.9907566473926093
39638958.8638785,0.23437484700462335,0.9249292229148875
21035886.311957896,0.0676985004103839,0.941038292303563
174573467.69723767,0.08919657248382905,0.9755551138543048
124211852.23120967,0.05904545778210762,0.9228798165491623
144533789.78124863,0.11506606615265287,0.9076979909828793
13911053.916202465,0.12773545793789642,0.9289751452913768
194282871.9107789,0.10426980635477918,0.9161221287254004
168164101.75208014,0.21574750183038588,0.9929697652342573
50344431.02887247,0.12135066533871786,0.9808120379564417
44546743.76934912,0.10618690193747615,0.9633403756510424
44846856.872152425,0.15853921663164972,0.9871460590187717
67806026.16231216,0.07818484499495254,0.9803672076899115
109703722.01012519,0.21043939615080792,0.9186570058886036
92069553.54200199,0.06491012873595417,0.9892558998489978
65333536.63762797,0.24737738732010345,0.953934224191565
126252049.9972521,0.20444895385933148,0.9807440155164062
36503833.52388795,0.08974313630683449,0.9896091299923493
65507483.22169145,0.051104423424720484,0.9318003474971864
79608750.22580142,0.21309228569096683,0.9110051924527677
96653297.00123683,0.19137146876952343,0.9227935162541941
159183432.66467258,0.19580143360819746,0.9427107788626257
47938018.61008835,0.20425406933718915,0.9818014765922494
107704543.2985862,0.06480893034681807,0.9860730583256343
122558768.08378807,0.12169314570885453,0.9006952130531191
18825578.416799568,0.07317381190502595,0.9510747302577566
125433521.86127329,0.22262068517511874,0.9417411003148779
42399583.50058539,0.1746596253655116,0.922210781047073
22359802.667203106,0.11617960497052984,0.9119865367333683
190288252.0781333,0.06271167005720474,0.9337615171403628
193470086.28416628,0.11219646434313245,0.9942909703912519
163595496.1421276,0.11503666440534942,0.9323202932020755
67876616.14294043,0.19592123566761283,0.9518790621743366
28557701.661212936,0.17751149427104262,0.9703018958895178
140004275.03730983,0.2274425485152653,0.9363629602379294
93628973.81052424,0.14444298503238986,0.997178208272096
33187264.620507978,0.07391884918766034,0.9962447294942112
104083612.92114134,0.19264895744459903,0.9251782295825365
16533819.011891495,0.20215700972337952,0.9497248505892386
182770876.3949686,0.16225543951389926,0.930087830981677
59168196.50400321,0.20419343599091222,0.9284840494377468
135879234.02725658,0.14875911927287816,0.9036886947354533
69225104.45698808,0.1545465658763988,0.9609564333979896
108812924.02378406,0.13550820367170993,0.9502679023228862
113874953.07522313,0.05508382534881904,0.905147875124999
45122346.549850136,0.0715782853986609,0.9278646464236612
