lock_date,notional_usd,duration_years,pull_through_rate
2025-01-01,121655276.9218138,6.406262911197099,0.9019930273017528
2025-01-02,114295975.85322304,6.678120014285412,0.8899304869176761
2025-01-03,123405046.45525296,5.963994939209833,0.8689867313786773
2025-01-06,133550115.56235394,6.501766448946012,0.9013712594961204
2025-01-07,113184636.47342134,6.180818012523817,0.878753925725478
2025-01-08,113184826.75285852,5.677440122697438,0.9094718486127036
2025-01-09,134201267.27972823,6.180697802754207,0.881611515315324
2025-01-10,124792886.0992058,6.769018283232985,0.9309986881003508
2025-01-13,110457302.7223867,5.9820869804450245,0.8843349341532752
2025-01-14,122186623.63015452,6.782321827907003,0.8935587696758865
2025-01-15,110527498.84931806,5.0,0.9162703443473934
2025-01-16,110500702.42639472,6.410951252187612,0.8753827136713209
2025-01-17,118702742.4208454,6.043523534119085,0.9045491986920826
2025-01-20,93723818.41445436,5.850496324767066,0.9261428550856484
2025-01-21,95906909.33958527,6.045880388267751,0.8678503353087754
2025-01-22,109381612.89352356,5.006215542699554,0.903692677170646
2025-01-23,104159883.07018656,5.890164056081244,0.9051976558849684
2025-01-24,119540514.98363352,6.178556285755874,0.9156364574355462
2025-01-27,105374580.34347096,6.738947022370758,0.8752609857824384
2025-01-28,99530058.27397732,5.740864890863176,0.8735908677383145
2025-01-29,132885077.72418068,5.595753198553406,0.910438831312338
2025-01-30,113281725.454908,5.749121478207732,0.9059396934646636
2025-01-31,116681078.84105104,6.457701058851037,0.9050098570069176
2025-02-03,99385828.63869011,6.164375554829842,0.9069289641899396
2025-02-04,109589126.78255384,5.735119898116481,0.8863995055684302
2025-02-05,117184012.9830827,6.256633716556678,0.90464507394322
2025-02-06,102558601.78042196,6.04853877467402,0.9058614494659736
2025-02-07,120252718.82981096,6.484322495266444,0.8857129716394727
2025-02-10,108937128.93363634,5.648973453061323,0.9373154902228952
2025-02-11,112517752.51704432,5.836168926701116,0.9094766584182358
2025-02-12,108924751.88091946,5.803945923433921,0.876173930055947
2025-02-13,137366052.23999226,5.268242525933941,0.9131310721726766
2025-02-14,115742006.7742287,6.148060138532288,0.8805063665954536
2025-02-17,103639733.10073376,6.130527636089945,0.915741692074849
2025-02-18,125431604.50863343,6.00255672832123,0.923171911580148
2025-02-19,101749050.35365616,5.882706433312427,0.8835863536329658
2025-02-20,118319133.9311684,5.292314628974793,0.9192675225848864
2025-02-21,93186166.96269026,5.78967733861732,0.90825561853873
2025-02-24,100504968.72233732,5.828642741736616,0.91644120319989
2025-02-25,118180028.46415503,5.59886136538919,0.937935859653079
2025-02-26,124457149.7767437,5.919357144166995,0.8950922376799426
2025-02-27,117884569.10269782,6.20202542840727,0.8849252767128503
2025-02-28,114558091.97716442,6.943092950605265,0.8822097114074896
2025-03-03,112408692.71557258,6.087288906415919,0.8836837943006912
2025-03-04,98762598.6507025,6.128775195361382,0.8984579658117179
2025-03-05,107555555.60036288,5.962777042116916,0.9068230394963328
2025-03-06,110559706.11938404,5.040614392350479,0.9055338159866004
2025-03-07,128150318.9265294,5.986743062275392,0.9165436649807204
2025-03-10,119880919.78574072,6.0301151049705135,0.9002600378375581
2025-03-11,95465077.5743702,7.0,0.9290706815431464
2025-03-12,119654520.06716543,5.903819517609438,0.8947068633352409
2025-03-13,111435394.0390812,6.150773671166807,0.95
2025-03-14,108053017.28551649,5.982644115147378,0.9125133469553002
2025-03-17,122987670.11324552,5.415660981190234,0.8828568488716744
2025-03-18,127847560.87205268,6.571411407257511,0.8785821500387778
2025-03-19,126691828.56803812,6.375966516343387,0.9096494483048636
2025-03-20,106172037.53358762,6.395515973521524,0.895530744293483
2025-03-21,112314714.37831816,5.54530627260263,0.914280009881842
2025-03-24,119737728.91005614,6.701397155468049,0.909464752491471
2025-03-25,127204853.09442204,5.29907446860386,0.8985434217468625
2025-03-26,110344882.95434774,6.293428546900135,0.8830641256386319
2025-03-27,113746678.96968146,7.0,0.8697030555062827
2025-03-28,103076188.01610982,5.504731837434655,0.8910697009586596
2025-03-31,102034589.63419004,5.716851135198614,0.9171279758864694
